PM2.5,PM10,NOx,NH3,CO,SO2,O3
151.4,95.68,11.16,15.85,10.8,7.8,5.46
51.35,95.68,10.67,15.85,8,10,5.76
65.37,95.68,8.57,15.85,0.64,16.31,8.02
56.28,95.68,8.51,15.85,0.6,18.93,6.2
48.17,95.68,8.55,15.85,0.65,18.99,7.97
33.56,95.68,8.56,15.85,0.72,11.28,10.18
31.3,95.68,8.49,15.85,0.55,10.29,7.44
48.12,95.68,8.43,15.85,0.67,1.28,6.3
57.11,95.68,8.42,15.85,0.55,14.58,2.6
34.72,95.68,7.88,15.85,0.1,13.62,4.87
29.22,95.68,7.77,15.85,0.06,13.58,5.08
29.79,95.68,7.97,15.85,0.14,15.11,5.34
59.95,95.68,8.16,15.85,0.18,11.52,2.79
19.2,95.68,9.74,15.85,1.52,11.23,4.61
19.52,95.68,17.15,15.85,5.89,11.56,4.4
35.16,95.68,16.64,15.85,5.75,14.7,3.67
33.03,95.68,17.58,15.85,7.01,12.95,3.53
40.95,95.68,17.39,15.85,6.92,19.8,3.38
40.29,95.68,17.26,15.85,6.74,8.27,3.57
41.16,95.68,17.42,15.85,6.91,13.48,3.69
36.12,95.68,17.07,15.85,7.21,13.62,6.08
28.51,95.68,27.21,15.85,6.69,5.69,7.65
31.59,95.68,27.41,15.85,6.99,9.23,7.9
42.56,95.68,27.57,15.85,7.17,6.28,9.86
48.12,95.68,27.45,15.85,7.14,6.77,12.78
37.09,95.68,27.42,15.85,7.22,8.66,7.94
33.4,95.68,27.5,15.85,7.4,9.95,8.39
38.64,95.68,27.55,15.85,7.35,9.74,6.28
40.49,95.68,27.71,15.85,7.48,8.92,21.51
41.37,95.68,27.68,15.85,7.47,11.73,19.8
44.56,95.68,27.55,15.85,7.49,11.23,22.77
65.68,95.68,27.51,15.85,7.57,8.21,30.21
33.34,95.68,27.57,15.85,7.3,6.41,32.95
39.17,95.68,27.58,15.85,7.35,9.17,26.64
34,95.68,27.51,15.85,7.41,9.64,17.17
36.38,95.68,27.45,15.85,7.31,10.65,13.35
38.35,95.68,27.57,15.85,7.41,9.33,18.59
38.5,95.68,30.02,15.85,12.38,10.37,16.33
39.61,95.68,32.15,15.85,17.31,10.76,5.38
61.79,95.68,32.06,15.85,17.24,12.39,8.06
43.22,95.68,31.99,15.85,17.17,11.68,37.87
33.41,95.68,31.98,15.85,17.12,12.96,86.83
36.9,95.68,31.93,15.85,17.08,4.73,54.01
36.36,95.68,31.9,15.85,17.11,8.86,77.3
32.64,95.68,31.85,15.85,17.01,7.05,62.31
38.23,95.68,31.96,15.85,17.07,10.9,55.94
39.86,95.68,31.81,15.85,16.98,10.02,96.83
72.74,95.68,31.88,15.85,17.04,4.23,99.03
43.2,95.68,31.91,15.85,17.05,5.96,59.99
63.2,95.68,31.85,15.85,17.03,3.69,7.57
64.73,95.68,31.83,15.85,17.01,6.45,12.13
65.28,95.68,31.89,15.85,17.04,6.13,18.2
67.86,95.68,31.84,15.85,16.97,8.87,16.53
52.4,95.68,31.78,15.85,16.97,9.89,22.55
33.33,95.68,31.84,15.85,16.95,6.88,33.58
29.52,95.68,31.82,15.85,16.94,8.56,40.65
15.53,95.68,31.85,15.85,17,15.13,34.18
57.51,95.68,67.22,15.85,16.31,8.73,15.39
50.24,95.68,21.77,15.85,9.46,11.63,13.61
61.77,95.68,24.1,15.85,8.68,8.1,18.69
46.93,95.68,18.61,15.85,7.14,7.92,19.03
43.01,95.68,16.78,15.85,6.82,11.58,20.59
42.06,95.68,19.78,15.85,8.43,11.63,28.09
44.94,95.68,18.07,15.85,7.14,5.85,59.38
29.58,95.68,16.55,15.85,6.61,8.82,42.9
32.15,95.68,16.2,15.85,6.5,9.2,39.02
36.33,95.68,20.56,15.85,7.68,8.28,43.35
24.46,95.68,19.44,15.85,8.45,12.59,44.55
48.57,95.68,23.52,15.85,0.89,9.16,30.84
27.08,95.68,22.19,15.85,9.95,9.51,12.46
59.29,95.68,18.89,15.85,9.21,5.98,7.69
65.32,95.68,20.23,15.85,10.61,3.69,4.74
47.39,95.68,19.74,15.85,9.26,7.72,7.71
43.88,95.68,28.44,15.85,8.69,4.83,11.53
28.35,95.68,22.68,15.85,9.05,7.47,15.95
3.59,95.68,25.44,15.85,11.26,9.6,20.38
3.04,95.68,37.81,15.85,16.31,13.73,30.05
19.14,95.68,40.93,15.85,10.33,10.96,29.36
69.12,95.68,41.26,15.85,8.85,15.63,28.45
76.41,95.68,52.67,15.85,17.96,15.44,31.49
102.49,95.68,71.17,15.85,33.31,27.32,24.85
127.94,95.68,39.52,15.85,11.14,25.59,15.17
87.18,95.68,29.34,15.85,7.83,6.98,23.17
99.73,95.68,50.39,15.85,20.16,32.74,20.91
84.15,95.68,47.93,15.85,15.83,19.37,23.12
92.12,95.68,50.71,15.85,18.21,31.75,29.97
94.02,95.68,64.11,15.85,27.14,24.88,23.51
150.27,95.68,50.77,15.85,15.9,26.35,31.96
118.91,95.68,34.64,15.85,5.42,79.47,24.89
91.41,95.68,28.63,15.85,5.19,25.44,6.25
95.9,95.68,44.01,15.85,10.38,30.06,27.34
137.87,95.68,53.18,15.85,20.2,21.89,17.41
90.71,95.68,43.85,15.85,18.12,17.89,26.02
108.68,95.68,49.9,15.85,17.03,22.59,19.56
98.79,95.68,48.92,15.85,17.72,26.09,30.19
145.75,95.68,55.33,15.85,20.61,24.66,95.94
179.43,95.68,91.75,15.85,52.33,39.15,112.01
170.52,95.68,48.6,15.85,15.49,34.03,53.98
203.4,95.68,59.66,15.85,23.03,94.3,5.36
92.71,95.68,43.57,15.85,12.92,42.08,72.86
64.66,95.68,28.61,15.85,4.79,34.4,24.76
78.14,95.68,39.51,15.85,10.58,44.91,35.56
100.17,95.68,66.43,15.85,32.27,27.73,23.95
147.35,95.68,73.74,15.85,34.64,46.09,26.43
206.89,95.68,201,15.85,145.32,20.47,38
114.84,95.68,78.39,15.85,38.09,22.94,30.19
89.64,95.68,31.18,15.85,5.42,44.92,43.04
51.72,95.68,23.04,15.85,1.89,37.31,66.58
54.59,95.68,20.64,15.85,2.31,19.08,42.43
46.5,95.68,13.32,15.85,1.22,13.73,61.56
48.57,95.68,23.52,15.85,0.89,9.16,30.84
122.54,95.68,119.62,15.85,75.42,13.78,60.66
147.18,95.68,69.93,15.85,33.06,21.24,131.12
214.67,95.68,99.57,15.85,57.37,22.18,30.84
207.13,95.68,60.37,15.85,28.41,50.33,30.84
191.01,95.68,89.72,15.85,39.61,40.78,27.9
192.35,95.68,38.43,15.85,9.39,29.18,33.21
127.64,95.68,38.64,15.85,6.74,26.94,47.33
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
